work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,originalsource
work_ghpl_017,醉客图,毛惠远,南齐,人物,佚失,绢,,,《古画品录·谢赫》.md,其所作“醉客图”...有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_018,刀戟图,毛惠远,南齐,器物,佚失,,,,《古画品录·谢赫》.md,有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_019,中朝名士图,毛惠远,南齐,人物,佚失,绢,,,《古画品录·谢赫》.md,有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_020,白马图,毛惠远,南齐,鞍马,佚失,绢,,,《古画品录·谢赫》.md,有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_021,骑马变势图,毛惠远,南齐,鞍马,佚失,绢,,,《古画品录·谢赫》.md,有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_022,叶公好龙图,毛惠远,南齐,故事,佚失,绢,,,《古画品录·谢赫》.md,有“刀戟图”、“中朝名士图”、“白马图”、“骑马变势图”、“叶公好龙图”等并传于代。
work_ghpl_023,郢匠图,夏侯瞻,晋,故事,佚失,绢,,,《古画品录·谢赫》.md,有“郢匠图”、“高士图”、“吴山图”、“楚人祠鬼神图”传于代。
work_ghpl_024,高士图,夏侯瞻,晋,人物,佚失,绢,,,《古画品录·谢赫》.md,有“郢匠图”、“高士图”、“吴山图”、“楚人祠鬼神图”传于代。
work_ghpl_025,吴山图,夏侯瞻,晋,山水,佚失,绢,,,《古画品录·谢赫》.md,有“郢匠图”、“高士图”、“吴山图”、“楚人祠鬼神图”传于代。
work_ghpl_026,楚人祠鬼神图,夏侯瞻,晋,鬼神,佚失,绢,,,《古画品录·谢赫》.md,有“郢匠图”、“高士图”、“吴山图”、“楚人祠鬼神图”传于代。
work_ghpl_027,无量寿佛木像,戴逵,晋,佛像,佚失,木,高丈六,,《古画品录·谢赫》.md,"曾造无量寿佛木像,高丈六"
work_ghpl_028,丈六铜佛像,戴顒,南朝宋,佛像,佚失,铜,丈六,瓦棺寺,《古画品录·谢赫》.md,宋世子铸丈六铜佛像于瓦棺寺...迎顒看之...既错减其耳
work_ghpl_029,临轩图,江僧宝,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,"谓其有“临轩图”、“御像职贡图”、“小儿戏鹅图”,并有“陈朝年号”传于代。"
work_ghpl_030,御像职贡图,江僧宝,南朝宋,人物,佚失,绢,,,《古画品录·谢赫》.md,"谓其有“临轩图”、“御像职贡图”、“小儿戏鹅图”,并有“陈朝年号”传于代。"
work_ghpl_031,小儿戏鹅图,江僧宝,南朝宋,风俗,佚失,绢,,,《古画品录·谢赫》.md,"谓其有“临轩图”、“御像职贡图”、“小儿戏鹅图”,并有“陈朝年号”传于代。"
work_ghpl_032,佛像（乐贤堂）,晋明帝,东晋,佛像,佚失,壁,,乐贤堂,《古画品录·谢赫》.md,帝画佛于乐贤堂
work_ghpl_033,毛诗图,晋明帝,东晋,故事,佚失,绢,,,《古画品录·谢赫》.md,唐张彦远亲见晋明帝所作“毛诗图”
work_ghpl_034,汉武回中图,晋明帝,东晋,历史,佚失,绢,,,《古画品录·谢赫》.md,尚有“汉武回中图”、“殷汤伐桀图”等
work_ghpl_035,殷汤伐桀图,晋明帝,东晋,历史,佚失,绢,,,《古画品录·谢赫》.md,尚有“汉武回中图”、“殷汤伐桀图”等
work_ghpl_036,孔子十弟子图,王廙,东晋,人物,佚失,绢,,晋明帝内府,《古画品录·谢赫》.md,"廙画孔子十弟子”以示,并作赞于此图"
work_ghpl_037,古贤图,史道硕,晋,人物,佚失,绢,,,《古画品录·谢赫》.md,并载其有“古贤图”、“金谷图”、“鹅图”、“牛图”、“七贤图”、“八骏图”、“嵇中散诗图”、“燕人送荆轲图”等
work_ghpl_038,金谷图,史道硕,晋,风俗,佚失,绢,,,《古画品录·谢赫》.md,并载其有“古贤图”、“金谷图”、“鹅图”、“牛图”、“七贤图”、“八骏图”、“嵇中散诗图”、“燕人送荆轲图”等
work_ghpl_039,八骏图,史道硕,晋,鞍马,佚失,绢,,,《古画品录·谢赫》.md,并载其有“古贤图”、“金谷图”、“鹅图”、“牛图”、“七贤图”、“八骏图”、“嵇中散诗图”、“燕人送荆轲图”等
work_ghpl_040,燕人送荆轲图,史道硕,晋,历史,佚失,绢,,,《古画品录·谢赫》.md,并载其有“古贤图”、“金谷图”、“鹅图”、“牛图”、“七贤图”、“八骏图”、“嵇中散诗图”、“燕人送荆轲图”等
work_ghpl_041,《画山水序》,宗炳,南朝宋,画论,存世,籍,,,《古画品录·谢赫》.md,"著有“画山水序”,对画山水,颇多独特的见解"
work_ghpl_042,捣衣图,刘瑱,南齐,风俗,佚失,绢,,,《古画品录·谢赫》.md,有“捣衣图”、“吴中行舟图”等传于代
work_ghpl_043,吴中行舟图,刘瑱,南齐,山水/风俗,佚失,绢,,,《古画品录·谢赫》.md,有“捣衣图”、“吴中行舟图”等传于代
work_ghpl_044,籍田图,章继伯,南齐,风俗,佚失,绢,长三丈,,《古画品录·谢赫》.md,"绢长三丈,传于代。"
