person_id,primary_role,name,courtesy_name,pseudonym,choronym,birth_death,period_ref,source_book,source_chapter,original_text
P_18574,Painter,高道興,,,成都,,五代,《益州名画录》,卷上,"高道興者, 成都人也。攻雜畫, 觸類皆長, 尤善佛像, 高僧。
光化年, 昭宗勅許王蜀先主置生祠, 命道興與趙德齊同手畫西平王儀仗, 車輅旌旗, 禮服法物, 朝真殿上皇姑帝戚, 后妃女樂百堵已來, 授翰林待詔, 賜紫金魚袋。及先主殂逝, 再命道興與德齊畫陵廟鬼神, 人馬兵甲, 公王儀仗, 宮寢嬪御——百餘堵。今大慈寺中兩廊下《高僧》六十餘軀, 華嚴閣東畔丈六《天花瑞像》, 並見存。"
P_67068,Painter,房從真,,,成都,,五代,《益州名画录》,卷上,"房從真者, 成都人也。攻畫甲馬, 人物, 鬼神, 冠絕當時。有《寧王獵射圖》《羌人移居圖》《陳登斫鱠圖》《冷朝陽, 王昌齡, 常建冒雪入京圖》, 蒲師訓師其筆法。王蜀先主於浣花龍興寺修聖夫人堂, 合水津起通波侯廟, 請從真畫甲馬旍旗, 從官鬼神, 授翰林待詔, 賜紫金魚袋。今寶曆寺五丈天王閣下天王部屬諸神, 並從真筆。後人重粧已損, 蒲師訓因再修之。"
P_94300,Painter,趙德玄,,,雍京,,五代,《益州名画录》,卷上,"趙德玄者, 雍京人也。天覆年入蜀, 攻畫車馬人物, 屋木山水, 佛像鬼神, 筆無偏擅, 觸類皆長, 獨步川中, 標名大
【頁碼：56】


---"
P_11080,Painter,常粲,,,雍京,,五代,《益州名画录》,卷上,"常粲者, 雍京人也。咸通年路侍中（巖）牧蜀之日, 自京入蜀, 路公賓禮待之。粲善傳神、雜畫, 有《七賢像》《六逸像》《女媧、伏羲、神農像》(謂之《三皇圖》)《立釋迦像》《五天胡僧像》《孔子西周問禮像》《名醫下蠱像》《摴蒲圖》《龍樹驗丹圖》《先賢卷軸》, 至今好事者收得, 為後學師範矣。
玉局化壁畫、道門尊像甚多, 王蜀時修改後頹損, 已換。今大聖慈寺悟達國師（知玄）真, 粲之筆, 見存。"
P_94951,Painter,常重胤,,,,,五代,《益州名画录》,卷上,"重胤者, 粲之子也, 僖宗皇帝幸蜀回鑾之日摴, 蜀民奏請留寫御容於大聖慈寺。其時隨駕寫貌待詔盡皆操筆, 不體天顏。府主陳太師（敬瑄）遂表進重胤, 御容一寫而成, 內外官屬, 無不歎駭, 謂為僧繇之後身矣。宜令中和院上壁, 及寫隨駕文武臣寮真:殿上御容前寫西川節度副大、制置指揮諸道兵馬兼供軍使、太師、中書令、成都尹、潁川郡王陳敬瑄, 義成軍節度使、中書令王鐸, 門下侍中韋昭度, 檢校司徒守太子太保鄭畋, 檢校司徒鄭延休, 翰林學士承旨、守兵部尚書樂朋龜, 翰林學士、守禮部尚書杜讓能, 翰林學士、戶部侍郎崔凝, 翰林學士、中書舍人沈仁偉, 翰林學士、中書舍人侯䎖, 尚書左僕射裴璩, 禮部尚書兼太常禮儀使牛叢, 左散騎常侍楊堪, 右散騎常侍柳涉, 右散騎鄭瑣, 左諫議大夫李紹鰌, 右諫議大夫蕭說, 尚書左丞、知中朝御史中丞盧澤, 給事中李輝, 給事中宋旦, 中書舍人鄭欣, 比部郎中、知制誥蘇循, 尚書右丞判戶部張禕, 尚書吏部侍郎張讀, 尚書刑部侍郎、充集賢殿學士李燠, 尚書禮部侍郎、知貢舉歸仁澤, 行在十軍司馬、工部侍郎、判度支秦韜玉;御容後寫左神策軍觀軍容使、護軍中尉田令孜, 右神策護軍中尉、觀軍容使西門思恭, 內飛龍使、知內侍省楊復恭, 內樞密使田匡禮, 內樞密使李順融, 宣徽南院使劉景宣, 宣徽北院使田獻銖, 左衛大將軍石守悰, 左金吾大將軍劉巨容, 行在諸軍馬步都虞候趙及諸司使副一百餘員。
尋授駕前翰林待詔, 賜緋魚袋。"
P_42530,Painter,黃筌,要叔,,成都,,后蜀,《益州名画录》,卷上,"黃筌者, 成都人也。幼有畫性, 長負奇能。刁處士入蜀, 授而教之竹石、花雀, 又學孫位畫龍水、松石、墨竹, 斆李昇畫山水、竹樹, 皆曲盡其妙。筌早與孔嵩同師, 嵩但守師法, 別無新意。筌既兼宗孫、李, 學力因是博贍, 損益刁格, 遂超師之藝。後唐莊宗同光年, 孟令公（知祥）到府, 厚禮見重。建元之後, 授翰林待詔權院事, 賜紫金魚袋。至少主廣政甲辰歲, 淮南通聘, 信幣中有生鶴數隻。蜀主命筌寫鶴於偏殿之壁, 警露者、啄苔者、理毛者、整羽者、唳天者、翹足者, 
【頁碼：80】


---


【益州名畫録・卷上】


（接前頁黃筌傳）
精彩態度, 更愈於生, 往往生鶴立於畫側。蜀主歎賞, 遂目為六鶴殿焉。尋加至內供奉、朝議大夫、檢校少府少監、上柱國。先是蜀人未曾得見生鶴, 皆傳薛少保畫鶴為奇, 筌寫此鶴之後, 貴族豪家, 竟將厚禮, 請畫鶴圖, 少保自此聲漸減矣。廣政癸丑歲, 新構八卦殿, 又命筌於四壁畫四時花竹、兎雉鳥雀。其年冬, 五坊使於此殿前呈雄武軍進者白鷹, 誤認殿上畫雉為生, 掣臂數四, 蜀王歎異久之, 遂命翰林學士歐陽炯撰《壁畫奇異記》以旌之。筌有《春山圖》《秋山圖》《山家晚景圖》《山家早景圖》《山家雨景圖》《山家雪景圖》《山居詩意圖》《瀟湘圖》《八壽圖》, 今石牛廟畫《龍水》一堵, 見存。"
P_76832,Painter,李昇,,錦奴; 昇為小李將軍,成都,,唐/五代,《益州名画录》,卷中,"李昇者, 成都人也。小字 錦奴。年纔弱冠, 志攻山水, 天縱生知, 不從師學。初得張藻員外 (唐時名士), (善畫山水)山水一軸, 玩之數日, 云: “未盡妙矣。” 遂出, 意寫蜀境 山川平遠, 心思造化, 意出先賢。數年之中, 創成一家之能, 俱盡山水之妙。每含毫就素, 必有新奇。《桃源洞 圖》《武陵溪圖》《青城山圖》《峨眉山圖》《二十四化山圖》, 好事得之, 為箱篋珍; 後學得之, 以為亡言師。明皇 朝有李將軍 擅名山水, 蜀人皆呼昇為小李將軍, 蓋其藝相匹 爾。悟達國師自京入蜀, 重 其高手, 請於聖壽寺本院同居數年, 因於廳 壁畫《出峽圖》 一堵、《霧中山圖》一堵。既而又請於大聖慈寺真堂 內畫《漢州 三學山 圖》一堵、《彭州 至德山》一堵, 時稱悟達國師真堂四絕: 常粲寫真、僧道盈書額、李商隱讚、李昇畫山水。今見存。"
P_69704,Painter,張玄,,,簡州金水 石城山,,五代,《益州名画录》,卷中,"張玄者, 簡州金水 石城山 人也。攻畫人物, 尤善羅漢。當王氏偏霸 武成 年, 聲跡喧然, 時呼玄為 “張羅漢”。荊、湖、淮、浙令人入蜀, 縱價收市, 將 歸本道。前輩畫佛像、羅漢, 相傳曹樣、吳樣二本, 曹起曹弗興, 吳起吳棟。曹畫衣紋稠疊, 吳畫衣紋簡略。其曹畫, 今昭覺寺孫位《戰勝天王》是也; 其吳畫, 今大聖慈寺盧楞伽《行道高僧》是也。玄畫羅漢, 吳樣矣。今大聖慈寺灌頂院《羅漢》一堂 十六軀, 見存。
【頁碼：96】


---"
P_43753,Painter,杜𫠜龜,,,其秦,,唐/五代,《益州名画录》,卷中,"杜齯龜者, 其先本秦 人, 避祿山之亂, 遂居蜀焉。齯龜少能博學, 涉獵 經史, 專 師常粲寫真、雜畫, 而妙於佛像、羅漢。王蜀少主以 高祖 受唐深恩, 將興元 節度使唐（道襲） 私第為上清宮, 塑王子晉 為遠祖於上清祖殿, 命齯龜寫大唐二十一帝御容於殿堂之四壁。每三會五獵, 差太尉、公卿薦獻宮內, 殿堂行事, 齋宮職掌, 并依太清宮故事。又命齯龜寫先主、太妃、太后真於青城山 金華宮。授翰林待詔, 賜紫金魚袋。今嚴君平觀 《杜天師（光庭）真》、大聖慈寺華嚴閣東廊下《祐聖國師（光業） 真》, 並齯龜筆, 見存。"
P_61497,Painter,刁光胤,,,雍京,,后蜀,《益州名画录》,卷中,"刁光胤者, 雍京人也。天復年入蜀, 攻畫湖石、花竹、貓兎、鳥雀, 性情高潔, 交遊不雜。入蜀之後, 前輩有攻花雀者, 頓減價矣。有師問 筆法者, 黃筌、孔嵩二人, 親授其訣。孔類升堂, 黃得入室。刁公居蜀三十餘年, 筆無蹔暇, 非病不休, 非老不息。卒時 八十以來, 豪貴之家及好事者, 收得其畫, 將為家寶, 傳視子孫。大聖慈寺熾盛光院明僧録房窗傍小壁四堵, 畫《四時雀竹》。廣政中黃居寀重粧《雀蝶》, 精奇轉甚。三學院大廳小壁《花雀》兩堵, 光胤畫時年已耄 矣。
 頓減價, 聲價立刻減低。
 師問, 待以師禮請教。
 孔類升堂, 黃得入室, 升堂、入室的典故出自《論語》: “由 (子路) 也升堂矣, 未入於室也。” ( 何晏集解,  皇侃義疏《論
【頁碼：100】


---"
P_51548,Painter,蒲師訓,,,蜀,,后蜀,《益州名画录》,卷中,"蒲師訓者, 蜀人也。幼師房從真畫人物、鬼神、蕃馬。長興年, 值孟令公 改元, 興修諸廟, 師訓畫江瀆廟、諸葛廟、龍女廟。及先主殂, 畫陵廟鬼神、蕃漢人物、旗幟兵仗、公王車馬、禮服儀式, 縱橫浩瀚, 莫不周至。授翰林待詔, 賜紫金魚袋。甲寅歲 春末, 蜀王或 夜夢一人, 破帽故欄, 龐眉 大目, 方頤廣顙, 立於殿堦, 跂 一足, 曰: “請修理之。” 言訖寢覺。翌日, 因檢他籍, 見此 古畫, 是前夕所夢者神, 故絹穿, 損畫之左足。遂命師訓令驗此畫是誰之筆, 師訓對云: “唐吳道玄之筆, 曾應明皇夢, 云痁者神 也。” 因令重修此足呈進。後蜀主復夢前神謝曰: “吾足履 矣。” 上慮為祟, 即命焚之。青城山丈人觀真君殿內《五岳四瀆部屬諸神》, 張素卿筆。廣政中, 山水泛溢, 衝損數堵, 蜀王 命師訓曰: “素卿之筆, 公往繼之可矣。” 四堵, 師訓筆也。（今丈人觀聖朝廣其殿宇, 重新興創別畫, 無舊蹤矣。）王蜀先主祠堂 東畔正門東畔《鬼神》一堵, 寶曆寺天王閣下《天王部屬》, 房從真筆, 後人粧損, 師訓再修, 兼自畫兩堵。大聖慈寺南廊下觀音院門兩《金剛》, 鄰壁《請塔天王》, 並師訓筆, 見存。
【頁碼：101】


---"
P_44520,Painter,趙忠義,,,,,后蜀,《益州名画录》,卷中,"趙忠義者, 德玄子也。德玄自雍 襁負 入蜀, 及長, 習父之藝, 宛若生知。孟氏明德年, 與父同手畫福慶禪院東流傳變相 一十三堵, 位置鋪舒, 樓殿臺閣, 山水竹樹, 蕃漢服飾, 佛像僧道, 車馬鬼神, 王公冠冕, 旌旗法物, 皆盡其妙, 冠絕當時。蜀王 知忠義妙於鬼神屋木, 遂令畫《關將軍起玉泉寺圖》。於是忠義畫自運材斸基, 以至丹楹刻桷, 皆役 鬼神。疊栱下榻, 地𣕧一坐, 佛殿將欲起立。 蜀王令內作都料 看此畫圖, 枋栱有準的否? 都料對曰: “此畫復較 一座, 分明無欠。” 其妙如此。授翰林待詔, 賜紫金魚袋。先是每年杪冬 末旬, 翰林攻畫鬼神者例進《鍾馗》 焉。丙辰歲, 忠義進 《鍾馗》, 以第二指挑鬼眼睛; 蒲師訓進 《鍾馗》, 以母 指剜鬼睛。二人《鍾馗》相似, 唯一指不同, 蜀王問此畫孰為優劣? 筌以師訓為優。蜀王曰: “師訓力在母指, 忠義力在第二 指, 二人筆力相敵, 難議昇降。” 並厚賜金帛。時人謂蜀王深鑒其畫矣。 今衙北門大安樓下天王院, 自濮陽 吳公（行曾） 鎮蜀之日創興, 其中有唐時名畫數堵, 及高道興、杜 齯龜、房從真、趙德齊畫佛像、羅漢、經驗、變相。廣政初, 忠義與黃筌、蒲師訓合手畫天王、變相十堵以來, 各盡所能, 愈於前輩。淳化五年甲午, 兵火焚盡, 今餘王蜀先主祠堂正門西畔《神鬼》、大聖慈寺正門北牆上《西域記》 石經院後殿《天王變相》、中寺六祖院傍《藥師經變相》, 並忠義筆, 見存。"
P_19766,Painter,黃居寶,辭玉,,,,五代,《益州名画录》,卷中,"黃居寶, 字辭玉, 筌之次子也。畫性 最高, 風姿俊爽。前輩畫太湖石, 皆以淺深墨 淡, 嵌空而已。居寶以筆端摤攃 （上七賞反, 下七葛反, ）文理縱橫夾雜, 砂石棱角峭硬, 如虯虎將踴, 厥狀非一也。其有畫松竹花雀, 變態舊規, 皆如湖石之類。授翰林待詔, 賜紫金魚袋。不幸早亡, 秀而不實 者也。"
P_97191,Painter,黃居寀,伯鸞,,,,五代,《益州名画录》,卷中,"居寀, 字伯鸞, 筌少子也。畫藝敏贍, 不讓於 父。蜀之四主 崇奢, 宮殿、苑囿、池亭, 世罕其比。居寀父子人內供奉 迨四十年, 殿庭墻壁、門幃、屏 幃 圖畫之數, 不可紀録。授翰林待詔、將仕郎、試太子議郎, 賜金魚袋。淮南通好之日, 居寀與父同手畫《四時花雀圖》《青城山圖》《峨眉山圖》《春山圖》《秋山圖》, 用荅國信。使命 將發, 《秋山》全未及
【頁碼：108】


---"
P_72041,Painter,李文才,,,,,后蜀,《益州名画录》,卷中,"垂綸 (lún), 垂釣。 渭水, 即渭河, 黃河主要支流之一。
源出甘肅渭源西北烏鼠山, 東南流至清水縣, 入陝西省境, 橫貫渭河平原, 東流至潼關, 入黃河。
濱, 水邊。傳說姜太公未出仕前隱居釣於渭水濱, 釣竿直鈎不設餌, 周文王見之, 以為賢良, 請他輔佐, 滅商興周。
 【？】, 同“睹”, 見。
 依稀, 彷彿。
 【？】 (chā), 文淵閣本作“【？】”, 二字同。
荷【？】, 扛着鍬。
傅巖, 古地名, 傳說為傅說 (yuè) 版築處, 武丁在此訪得傅說, 舉以為相, 出現殷中興的局面。
 從茲, 從此。
仄 (cè), 通“側”。仄展, 輾轉反側, 比喻睡不安穩。
懸旌, 懸掛旌旗, 比喻心神不定。
 宵衣旰 (gàn) 食, 天未明就起來穿衣, 傍晚才進食, 形容帝王勤於政務。
 老人, 南極星、壽星。
星應候, 筆者認為這裏取的是候星的意思, 候星即佔驗星象。
《淮南子·兵略》: “望氣候星, 龜策機祥, 此善為天道者也。” ( 高誘注《淮南鴻烈解》卷十五)
願與南山俱獻壽, 取典於壽比南山。
壽比南山是祝人長壽的習用語, 《詩經·小雅》: “如南山之壽, 不騫不崩。” ( 蘇轍《詩集傳》卷九)
 貢, 進獻。
景化, 猶教化。
天和, 自然的祥和之氣。

李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。
【頁碼：117】


---"
