cv_id,person_ref,official_title,entry_mode,event_type,location_ref,time_ref,source_book,source_chapter,source_text
cv_yuchiyiseng_03,尉迟乙僧,,,Work,光泽寺,,《唐朝名画录》,神品下 物理页面第9页,"又光泽寺七宝台后面画《降魔像》"
cv_lisisun_01,李思训,卫将军,,Official_Post,长安(推测),开元中(713-741),《唐朝名画录》,神品下 物理页面第10页,"开元中除卫将军"
cv_lisisun_02,李思训,,,Work,大同殿,天宝中(742-756),《唐朝名画录》,神品下 物理页面第10页,"天宝中明皇召思训画大同殿壁"
cv_hangan_01,韩幹,供奉,,Official_Post,长安(推测),天宝中(742-756),《唐朝名画录》,神品下 物理页面第10页,"明皇天宝中召入供奉"
cv_hangan_02,韩幹,,,Work,宝应寺,,《唐朝名画录》,神品下 物理页面第11页,"又宝应寺三门神、西院北方天王"
cv_hangan_03,韩幹,,,Work,资圣寺,,《唐朝名画录》,神品下 物理页面第11页,"资圣寺北门二十四圣"
cv_zhangzao_01,张藻,员外,,Official_Post,长安(推测),,《唐朝名画录》,神品下 物理页面第11页,"张藻员外"
cv_zhangzao_02,张藻,,,Work,宝应寺,,《唐朝名画录》,神品下 物理页面第11页,"今宝应寺西院山水松石之壁"
cv_xueji_01,薛稷,宰辅,,Official_Post,长安(推测),天后朝(684-705),《唐朝名画录》,神品下 物理页面第11页,"天后朝位至宰辅"
cv_xueji_02,薛稷,,,Work,秘书省,,《唐朝名画录》,神品下 物理页面第11页,"今秘书省有画鹤"
cv_xueji_03,薛稷,,,Travel,新安郡,,《唐朝名画录》,神品下 物理页面第11页,"曾旅游新安郡"
cv_xueji_04,薛稷,,,Work,永安寺,,《唐朝名画录》,神品下 物理页面第11页,"请书永安寺额,兼画西方佛一壁"
cv_xueji_05,薛稷,少保,,Official_Post,,,《唐朝名画录》,妙品上 物理页面第19页,"其画亦薛少保之比"
cv_weiwutian_01,韦无忝,侍郎,,Official_Post,长安(推测),明皇时(712-756),《唐朝名画录》,妙品上 物理页面第15页,"韦无忝侍郎"
cv_weiwutian_02,韦无忝,,,Work,玄武门,,《唐朝名画录》,妙品上 物理页面第15页,"诏于玄武门写之"
cv_zhushen_01,朱审,,,Travel,京师,,《唐朝名画录》,妙品上 物理页面第16页,"自江湖至京师"
cv_zhushen_02,朱审,,,Work,唐安寺,,《唐朝名画录》,妙品上 物理页面第16页,"又唐安寺讲堂西壁"
cv_wangwei_01,王维,尚书右丞,Examination,Official_Post,长安(推测),,《唐朝名画录》,妙品上 物理页面第16页,"兄弟并以科名文学,冠绝当时"
cv_wangwei_02,王维,,,Residence,蓝田辋川,,《唐朝名画录》,妙品上 物理页面第16页,"家于蓝田辋川"
cv_wangwei_05,王维,,,Work,辋川,,《唐朝名画录》,妙品上 物理页面第16页,"复画《辋川图》"
cv_wangwei_03,王维,,,Work,千福寺,,《唐朝名画录》,妙品上 物理页面第16页,"今京都千福寺西塔院有掩障一合"
cv_wangwei_04,王维,,,Work,慈恩寺,,《唐朝名画录》,妙品上 物理页面第16页,"慈恩寺东院与毕庶子、郑广文各画一小壁"
cv_weiian_01,韦偃,,,Travel,蜀,,《唐朝名画录》,妙品上 物理页面第17页,"寓居于蜀"
cv_weiian_02,韦偃,令公,,Official_Post,,,《唐朝名画录》,妙品上 物理页面第17页,"韦令公以客礼待之"
cv_wangzai_01,王宰,,,Residence,西蜀,贞元中(785-805),《唐朝名画录》,妙品上 物理页面第17页,"王宰居于西蜀"
cv_wangzai_02,王宰,,,Work,兴善寺,,《唐朝名画录》,妙品上 物理页面第17页,"于兴善寺见画四时屏风"
cv_yangyan_01, 杨炎,宰相,,Official_Post,长安(推测),贞元中(785-805),《唐朝名画录》,妙品上 物理页面第18页,"贞元中宰相"
cv_yangyan_02,杨炎,,,Travel,崖州,,《唐朝名画录》,妙品上 物理页面第18页,"出贬崖州"
cv_yangyan_03,杨炎,,,Travel,洛中,,《唐朝名画录》,妙品上 物理页面第18页,"知其家洛中"
cv_yangyan_04,杨炎,处士,,Official_Post,,,《唐朝名画录》,妙品上 物理页面第18页,"初称处士"
cv_hanhuang_01,韩滉,宰相,,Official_Post,长安(推测),德宗朝(779-805),《唐朝名画录》,妙品上 物理页面第18页,"德宗朝宰相,当建中末,值兹丧乱,遂兼统六道节制,出为镇海军,江浙东西兼荆、湖、洪、鄂等道节度使,中书令,晋国公"
cv_hanhuang_06,韩滉,兼统六道节制,,Official_Post,长安(推测),德宗朝(779-805),《唐朝名画录》,妙品上 物理页面第18页,"德宗朝宰相,当建中末,值兹丧乱,遂兼统六道节制,出为镇海军,江浙东西兼荆、湖、洪、鄂等道节度使,中书令,晋国公"
cv_hanhuang_02,韩滉,镇海军节度使,,Official_Post,镇海军,,《唐朝名画录》,妙品上 物理页面第18页,"德宗朝宰相,当建中末,值兹丧乱,遂兼统六道节制,出为镇海军,江浙东西兼荆、湖、洪、鄂等道节度使,中书令,晋国公"
cv_hanhuang_03,韩滉,江浙东西兼荆湖洪鄂等道节度使,,Official_Post,江浙东西兼荆湖洪鄂,,《唐朝名画录》,妙品上 物理页面第18页,"德宗朝宰相,当建中末,值兹丧乱,遂兼统六道节制,出为镇海军,江浙东西兼荆、湖、洪、鄂等道节度使,中书令,晋国公"
cv_chenhong_01,陈闳,,Recommendation,Entry,,,《唐朝名画录》,妙品中 物理页面第21页,"本道荐之于国"
cv_chenhong_02,陈闳,供奉,,Official_Post,长安(推测),开元中(713-741),《唐朝名画录》,妙品中 物理页面第21页,"明皇开元中召入供奉"
cv_chenhong_03,陈闳,,,Work,太清宫,,《唐朝名画录》,妙品中 物理页面第21页,"又写太清宫肃宗御容"
cv_chenhong_04,陈闳,,,Work,咸宜观,,《唐朝名画录》,妙品中 物理页面第21页,"今咸宜观内天尊殿中画上仙"
cv_fanchangshou_01,范长寿,武骑尉,,Official_Post,长安(推测),国初(618-626),《唐朝名画录》,妙品中 物理页面第22页,"国初为武骑尉"
cv_chengxiuji_01,程修己,,Examination,Entry,长安(推测),宝历中(825-827),《唐朝名画录》,妙品中 物理页面第23页,"宝历中修己应明经擢第"
cv_chengxiuji_02,程修己,,,Work,文思殿,大和中(827-835),《唐朝名画录》,妙品中 物理页面第23页,"又尝画竹障于文思殿"
cv_bianluan_01,边鸾,,,Work,玄武殿,贞元中(785-805),《唐朝名画录》,妙品中 物理页面第23页,"贞元中...德宗诏于玄武殿写其貌"
cv_bianluan_02,边鸾,,,Travel,泽潞,,《唐朝名画录》,妙品中 物理页面第23页,"因出宦,遂致疏放,其意困穷于泽潞间"
cv_fengshaozheng_01,冯绍政,少府监,,Official_Post,长安(推测),开元中(713-741),《唐朝名画录》,妙品下 物理页面第26页,"诏少府监冯绍政"
cv_fengshaozheng_02,冯绍政,,,Work,龙池,,《唐朝名画录》,妙品下 物理页面第26页,"上于龙池新创一殿...冯绍政于四壁各画一龙"
cv_lulengjia_01,卢棱迦,,,Work,庄严寺,,《唐朝名画录》,妙品下 物理页面第26页,"于庄严寺,与吴生对画神"
cv_lutingyao_01,陆庭曜,,,Work,天卿寺,,《唐朝名画录》,妙品下 物理页面第27页,"画天卿寺神"
cv_chentan_01,陈谭,连州刺史,,Official_Post,连州,德宗时(779-805),《唐朝名画录》,能品上 物理页面第28页,"德宗时除连州刺史"
cv_liushang_01,刘商,郎中,,Official_Post,长安(推测),,《唐朝名画录》,能品上 物理页面第29页,"官为郎中"
cv_bihong_01,毕宏,庶子,,Official_Post,长安(推测),,《唐朝名画录》,能品上 物理页面第29页,"官至庶子"
cv_wangding_01,王定,中书,,Official_Post,长安(推测),,《唐朝名画录》,能品上 物理页面第29页,"为中书"
cv_weiluan_01,韦銮,少监,,Official_Post,长安(推测),,《唐朝名画录》,能品上 物理页面第29页,"官至少监"
cv_huang_e_01,黄谔,,,Work,菩提寺,,《唐朝名画录》,能品下 物理页面第33页,"今菩提寺佛殿中有画"
cv_zhangzhihe_01,张志和,,,Residence,洞庭湖,,《唐朝名画录》,逸品 物理页面第35页,"常渔钓于洞庭湖"
cv_lizhaodao_01,李昭道,中舍,,Official_Post,长安(推测),开元中(713-741),《唐朝名画录》,神品下 物理页面第10页,"与其子李昭道中舍"
cv_zhoufang_04,周昉,长史,,Official_Post,,,《唐朝名画录》,神品中 物理页面第6页,"后又请周昉长史写之"
cv_hanhuang_04,韩滉,中书令,,Official_Post,长安(推测),德宗朝(779-805),《唐朝名画录》,妙品上 物理页面第18页,"中书令,晋国公"
cv_hanhuang_05,韩滉,晋国公,,Official_Post,长安(推测),德宗朝(779-805),《唐朝名画录》,妙品上 物理页面第18页,"中书令,晋国公"
